"Aditomo__Anindito","Aehnelt__Mario","Allen__Catherine","Amelung__Chris","Anastopoulou__Stamatina","Andriessen__Jerry","Anjewierden__Anjo","Asensio-Pérez__Juan_Ignacio","Asgari-Targhi__Marzieh","Asterhan__Christa","Asterhan__Christa_S.C.","Avouris__Nikolaos","Baker__Michael","Barron__Brigid","Bauters__Merja","Baytiyeh__Hoda","Bennerstedt__Ulrika","Bernstein__Florian","Betbeder__Marie-Laure","Bétrancourt__Mireille","Bientzle__Martina","Blondel__Francois-Marie","Bodemer__Daniel","Bonnett__Victoria","Bopardikar__Anushree","Bransford__John","Bratitsis__Tharrenos","Brennan__Karen","Breuleux__Alain","Brown__Megan","Bruillard__Eric","Bruillard__Éric","Buder__Jürgen","Bundsgaard__Jeppe","Cakir__Murat","Cakir__Murat_Perit","Camacho__Heilyn","Carell__Angela","Carlsen__William","Caviale__Olivier","Chamrada__Marian","Chan__Tak-Wai","Chan__Wen-Ching","Chang__Ben","Chang__Hsiu-mei","Chaudhuri__Sourish","Chen__Chin-Shueh","Chen__Fei-Ching","Chen__Wenli","Chen__Zhi-Hong","Cheng__Britte_Haugan","Chin__Chee-Kuen","Chin__Doris","Chiu__Jennifer","Chomienne__Martine","Chung__Chen-Wei","Claro__Susana","Clouet__Nicole","Cobos__Ruth","Cocciolo__Anthony","Collins__Allan","Corliss__Stephanie","Cress__Ulrike","Daskolia__Maria","de_Groot__Reuma","de_Hoog__Robert","Dehler__Jessica","Demetriadis__Stavros","Dillenbourg__Pierre","Dimitracopoulou__Angelique","Dimitriadis__Yannis","Ding__Ning","Dirckinck-Holmfeld__Lone","Diziol__Dejana","Dominique__Roué","Dong__Chaoyan","Dowell__John","Duffy__Thomas","Dyke__Gregory","Eisenmann__Tammy","Engelmann__Tanja","Erkens__Gijsbert","Ertl__Bernhard","Estrella__Gucci","Evans__Kathy","Falcão__Taciana_Pontual","Ferraris__Christine","Fessakis__Georgios","Fields__Deborah","Fischer__Frank","Fischer__Gerhard","Fisher__Charles","Fishman__Barry","Fleck__Rowanne","Frerejean__Jimmy","Fujita__Nobuko","Galyen__Krista","Gao__Ping","Gavota__Monica","Gawel__Drue","Gegenfurtner__Andreas","Gerard__Libby","Giemza__Adam","Giguet__Emmanuel","Gijlers__Hannie","Gil__Julia","Girardot__Jean-Jacques","Gkotsis__George","Gladisch__Thomas","Glezou__Katerina","Gnesdilow__Dana","Goehring__Elizabeth","Goggins__Sean","Gogoulou__Agoritsa","Goh__Sao-Ee","Goldman__Ricki","Gouli__Evangelia","Greenhow__Christine","Grigoriadou__Maria","Gweon__Gahgene","Hakkarainen__Kai","Halbinger__Max","Halic__Olivia","Hambach__Sybille","Harrer__Andreas","Harris__Amanda","Hatzitaskos__Markos","Henrik__Johansson_Kjell","Heo__Gyeong_Mi","Hernández-Leo__Davinia","Herrenkohl__Leslie","Herrmann__Thomas","Hesse__Friedrich_W.","Hmelo-Silver__Cindy","Honegger__Beat_Döbeli","Hong__Huang-Yao","Hong__Ran-Young","Hoppe__Ulrich","Howley__Iris","Hsu__Ying-Shao","Huber__Michael_J.","Hung__Hui-Chun","Hußmann__Heinrich","Hwang__Fu-Kwun","Inkinen__Mikko","Ioannou__Andri","Iordanou__Kalipso","Jacobson__Michael","Jahnke__Isa","Jalonen__Satu","Järvelä__Sanna","Jermann__Patrick","Jones__Chris","Jorczak__Robert","Jorrín-Abellán__Iván_Manuel","Joshi__Aasha","Jung__Ji_yoon","Kafai__Yasmin_B.","Kalus__Georg","Kam__Matthew","Kampylis__Panagiotis","Kang__Myung_hee","Kapur__Manu","Karacapilidis__Nikos","Karakostas__Anastasios","Karlgren__Klas","Karousos__Nikos","Ke__Fengfeng","Kerawalla__Lucinda","Kertin__Steven","Kim__Beaumie","Kim__Misong","Kimmerle__Joachim","Kirschner__Paul_A.","Klemmer__Scott","Koch__Jonas","Koedinger__Kenneth","Kohen-Vacs__Dan","Kollar__Ingo","Kolloffel__Bas","Kooken__Jose","Kopp__Birgitta","Korn__Matthias","Koschmann__Timothy","Kosonen__Kari","Krauskopf__Karsten","Krauß__Matthias","Kuhn__Deanna","Kumar__Rohit","Kumar__Swapna","Kuwata__Jin","Lachmann__Hanna","Laffey__James","Lakkala__Minna","Lambropoulos__Niki","Lansiquot__Reneta","Larsen__James","Laru__Jari","Lee__Jason","Lee__Lai_Har_Judy","Lee__Yew-Jin","Lépine__Simon","Lester__Jessica","Lewis__Sarah","Liang__Jen-Kai","Liao__Calvin_C._Y.","Liao__Calvin_C.Y.","Lin__Chiu-Pin","Lin__Hsien-Ta","Lin__Li-Fen","Linderoth__Jonas","Lindgren__Robb","Lindstaedt__Stefanie","Lingnau__Andreas","Linn__Marcia","Liu__Chen-Chung","Liu__Lei","Loll__Frank","Long__Patti","Looi__Chee-Kit","Lucas__Nadine","Lucci__Aurélien","Lum__Shawn","Lund__Kristine","Lundh__Patrik","Lyons__Leilah","Madeira__Cheryl_Ann","Maldonado__Heidy","Malzahn__Nils","Mandl__Heinz","Mansour__Nasser","Mariné__Claudette","Markkanen__Hannu","Marshall__Paul","Martel__Christian","Martin__Caitlin_Kennedy","Martínez-Monés__Alejandra","Matsumoto__Kenichiro","McLaren__Bruce","McLaren__Bruce_M.","Medina__Richard","Meier__Anne","Mercier__Emma","Mertl__Véronique","Mikšátko__Jan","Miyatani__Takashi","Mochizuki__Toshio","Moed__Andrea","Moguel__Patrice","Monachesi__Paola","Moraveji__Neema","Moskaliuk__Johannes","Mossel__Eelco","Müsebeck__Petra","Musielak__Marleen","Muukkonen__Hanni","Najafi__Hedieh","Nakahara__Jun","Näykki__Piia","Nishimori__Toshihisa","Notari__Michele","Nussbaum__Miguel","Nüssli__Marc-Antoine","O’Malley__Claire","Oehl__Michael","Otto__Owen","Oura__Hiroki","Paavola__Sami","Padmanabhan__Poornima","Paek__Seungoh","Pal__Joyojeet","Pang__Alexis","Papadopoulos__Pantelis","Park__Hyo_jin","Park__Mi_soon","Pathak__Suneeta","Paulus__Trena","Pea__Roy","Pemberton__Lyn","Peters__Vanessa_L.","Petrou__Marilena","Pfaffman__Jay","Pfister__Hans-Rüdiger","Phielix__Chris","Philips__Rachel","Pifarré__Manoli","Pinkwart__Niels","Poellhuber__Bruno","Posea__Vlad","Prado__Josie","Price__Sara","Prins__Frans_J.","Puntambekar__Sadhana","Rafanan__Ken","Ramanau__Ruslan","Rathmayer__Sabine","Rebedea__Traian","Reece__Anton","Reffay__Christophe","Reimann__Peter","Richle__Urs","Rick__Jochen","Rogers__Yvonne","Romero__Margarida","Ronen__Miky","Roschelle__Jeremy","Rosé__Carolyn_Penstein","Rosen__Joe","Roth__Benedikt","Rummel__Nikol","Saab__Nadira","Sahib__Zina","San_Chee__Yam","Sangin__Mirweis","Saravanos__Alexandra","Saravanos__Antonios","Sato__Tomomi","Scanlon__Eileen","Scardamalia__Marlene","Scherff__Lisa","Scheuer__Oliver","Schmidt__Carla","Schmidt__Matthew","Schneider__Bertrand","Schneider__Daniel","Schnurer__Katharina","Schwartz__Daniel","Schwarz__Baruch_B.","Simon__Jean","Singer__Nancy_Robb","Singh__Udai_Pawar","Slof__Bert","Slotta__James","Slotta__James_D.","Smith__Garrett_W.","Spada__Hans","Spence__Marsha","Stahl__Gerry","Stake__Robert_E.","Stamelos__Ioannis","Stegmann__Karsten","Steinbock__Daniel","Stewart__Heather","Stichter__Janine","Streng__Sara","Stylianou-Georgiou__Agni","Sullivan__Sarah_A.","Suthers__Daniel","Svihla__Vanessa","Tan__Aik-Ling","Tan__Seng-Chee","Tan__Sini","Tao__Shu-Yuan","Tate__Erika","Taylor__Jonathan","Tchounikine__Pierre","Teo__Chewlee","Teplovs__Christopher","Thompson__Kate","Tissenbaum__Mike","Toyama__Kentaro","Trausan-Matu__Stefan","Trăusan-Matu__Stefan","Tricot__André","Tsakostas__Christos","Tscholl__Michael","Tsubakimoto__Mio","Tyson__Kersti","Tzagarakis__Manolis","van_de_Sande__Carla","Vassileva__Julita","Vatrapu__Ravi","Veith__Michael","Vesikivi__Petri","Vignollet__Laurence","Villalba__Serena","Villasclaras-Fernández__Eloy_David","Villiot-Leclercq__Emmanuelle","Voyiatzaki__Eleni","Vye__Nancy","W.Hesse__Friedrich","Walker__Erin","Walter__Sarah","Wang__Hsue-Yie","Watanabe__Shinichi","Wecker__Christof","Wegerif__Rupert","Wen__Yun","Wichmann__Astrid","Winter__Marcus","Wise__Alyssa_Friend","Wodzicki__Katrin","Wong__Lung-Hsiang","Wu__Hsin-Kai","Xie__Kui","Yamauchi__Yuhei","Yeo__Jennifer","Yoon__Susan","Young__Shelley_Shwu-Ching","Yuill__Nicola","Zahn__Carmen","Zemel__Alan","Zhang__BaoHui","Zhang__Jianwei","Zhou__Nan","Zufferey__Guillaume"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
